path;author;sex;birthday;header;created;sphere;genre_fi;type;topic;chronotop;style;audience_age;audience_level;audience_size;source;publication;publisher;publ_year;medium;subcorpus;tagging;words
post1950/minor_publ/eksmo/tronina/rusalka;Татьяна Тронина;жен;;Русалка для интимных встреч;2004;художественная;любовная история;роман;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;очень большая;Татьяна Тронина. Русалка для интимных встреч. - М.: Эксмо, 2004;Татьяна Тронина. Русалка для интимных встреч;ЭКСМО;2004;книга;ПК письменных текстов;none;85488
post1950/vagr/vagr1/kostikov/roman;Вячеслав Костиков;муж;1940;Роман с президентом;1996;публицистика | нехудожественная;;мемуары;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Вячеслав Костиков. Роман с президентом. М.: Вагриус, 1997;Вячеслав Костиков. «Роман с президентом»;Вагриус;1997;книга;ПК письменных текстов;none;85099
post1950/fiction_mem/ancharov/samshit;Михаил Анчаров;муж;1923;Самшитовый лес;1979;художественная;нежанровая проза;роман;;Россия/СССР: советский период;нейтральный;н-возраст;н-уровень;большая;Михаил Анчаров. Самшитовый лес. _ М.: АСТ-Пресс, 1994;Михаил Анчаров. Самшитовый лес;АСТ-Пресс;1994;книга;ПК письменных текстов;none;85056
post1950/fiction_mem/abramov/pryasliny_2_dve_zimyi_i_tri_leta;Федор Абрамов;муж;1920;Две зимы и три лета;1968;художественная;нежанровая проза;роман;;Россия/СССР: советский период;региональный;н-возраст;н-уровень;очень большая;Ф. Абрамов. Две зимы и три лета. Л., Советский писатель, 1969;Ф. Абрамов. Две зимы и три лета;«Советский писатель»;1969;книга;ПК письменных текстов;none;84892
post1950/vagr/masslit/dvoreckij/shakaly;Лев Дворецкий;муж;1927;Шакалы;2000;художественная;детектив, боевик;роман;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Лев Дворецкий. Шакалы. М.: Вагриус, 2000;Лев Дворецкий. Шакалы;Вагриус;2000;книга;ПК письменных текстов;none;84872
post1950/vagr/masslit/taranov/mstiteli;Сергей Таранов;муж;1948;Мстители;1999;художественная;детектив, боевик;роман;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Сергей Таранов. Мстители. М.: Вагриус, 1998;Сергей Таранов. Мстители;Вагриус;1998;книга;ПК письменных текстов;none;84656
post1950/fiction_mem/ancharov/ptitsa;Михаил Анчаров;муж;1923;Как Птица Гаруда;1989;художественная;нежанровая проза;роман;;Россия/СССР: советский период;нейтральный;н-возраст;н-уровень;большая;Анчаров М. Л. Как Птица Гаруда. М: «Советский писатель», 1989 http://ancharov.lib.ru;Анчаров М. Л. Как Птица Гаруда;«Советский писатель»;1989;книга;ПК письменных текстов;none;84646
post1950/forum/eva_ru/56/56;;;;Наши дети: Дошколята и младшие школьники (форум);2005;электронная коммуникация | нехудожественная;;форум;частная жизнь;;нейтральный;н-возраст;н-уровень;средняя;http://www.eva.ru/static/forums/;Форум на eva.ru;;2005;электронный текст;ПК электронной коммуникации;none;84364
post1950/fiction_mem/bragin/v_strane;Владимир Брагин;муж;1896;В стране дремучих трав;1962;художественная;фантастика;роман;;ирреальный мир;нейтральный;подростковый;н-уровень;очень большая;В. Брагин. В стране дремучих трав. _ М.: Детская литература, 2004;В. Брагин. В стране дремучих трав;Детская литература;2004;книга;ПК письменных текстов;none;84112
post1950/vagr/nd/shmyga/schastye;Татьяна Шмыга;жен;1928;Счастье мне улыбалось...;2000;публицистика | нехудожественная;;мемуары;;Россия/СССР: советский период|Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Татьяна Шмыга. Счастье мне улыбалось. М.: Вагриус, 2001;Т. Шмыга. Счастье мне улыбалось;Вагриус;2001;книга;ПК письменных текстов;none;83847
